lat	lon	title	description	iconSize	iconOffset	icon
5700038.4667461	1043804.0145209	ViGLug	<a href="http://viglug.org/">http://viglug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5713691.9411458	1032471.5790403	MoBLUG	<a href="http://it-it.facebook.com/pages/MoBLUG-Monza-e-Brianza-Linux-Group/195366463068?sk=info">http://it-it.facebook.com/pages/MoBLUG-Monza-e-Brianza-Linux-Group/195366463068?sk=info</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5670720.1463321	986417.5925106	LUGDucale	<a href="http://www.lugducale.it/">http://www.lugducale.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5627783.0570067	1014471.2173815	Ohosys.org	<a href="http://www.ohosys.org/">http://www.ohosys.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5650607.8334232	1019847.9487861	TiLug	<a href="http://pavia.linux.it/">http://pavia.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5753001.3476659	982052.7552772	Forseti	<a href="http://www.forseti.it/">http://www.forseti.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5753001.3476659	985052.7552772	GULLP - Gruppo Utenti Linux Lonate Pozzolo	<a href="http://www.gullp.it/">http://www.gullp.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5750720.2973776	958788.09489955	IspraLUG	<a href="http://ispralug.eu/">http://ispralug.eu/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5753001.3476659	988052.7552772	LIFO	<a href="http://www.lifolab.org/">http://www.lifolab.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5753001.3476659	991052.7552772	LinuxVar	<a href="http://www.linuxvar.it/">http://www.linuxvar.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5720914.3549799	1005731.5241605	LUG Saronno	<a href="http://lugsaronno.altervista.org/">http://lugsaronno.altervista.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5403465.6508297	1503935.225967	FreeGLOO	<a href="http://freegloo.wordpress.com/">http://freegloo.wordpress.com/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5391677.0731157	1474279.7136238	Lug-Jesi	<a href="http://www.lugjesi.net/">http://www.lugjesi.net/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5363966.8262138	1436829.6105364	PDP FSUG	<a href="http://pdp.linux.it/">http://pdp.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
